x,f(x)
1,1
"1,1","0,909090909090909"
"1,2","0,833333333333333"
"1,3","0,769230769230769"
"1,4","0,714285714285714"
"1,5","0,666666666666667"
"1,6","0,625"
"1,7","0,588235294117647"
"1,8","0,555555555555556"
"1,9","0,526315789473684"
2,"0,5"
"2,1","0,476190476190476"
"2,2","0,454545454545455"
"2,3","0,434782608695652"
"2,4","0,416666666666667"
"2,5","0,4"
"2,6","0,384615384615385"
"2,7","0,37037037037037"
"2,8","0,357142857142857"
"2,9","0,344827586206896"
3,"0,333333333333333"
"3,1","0,32258064516129"
"3,2","0,3125"
"3,3","0,303030303030303"
"3,4","0,294117647058823"
"3,5","0,285714285714286"
"3,6","0,277777777777778"
"3,7","0,27027027027027"
"3,8","0,263157894736842"
"3,9","0,256410256410256"
4,"0,25"
"4,1","0,24390243902439"
"4,2","0,238095238095238"
"4,3","0,232558139534884"
"4,4","0,227272727272727"
"4,5","0,222222222222222"
"4,6","0,217391304347826"
"4,7","0,212765957446808"
"4,8","0,208333333333333"
"4,9","0,204081632653061"
5,"0,2"
"5,1","0,196078431372549"
"5,2","0,192307692307692"
"5,3","0,188679245283019"
"5,4","0,185185185185185"
"5,5","0,181818181818182"
"5,6","0,178571428571429"
"5,7","0,175438596491228"
"5,8","0,172413793103448"
"5,9","0,169491525423729"
6,"0,166666666666667"
"6,1","0,163934426229508"
"6,2","0,161290322580645"
"6,3","0,158730158730159"
"6,4","0,15625"
"6,5","0,153846153846154"
"6,6","0,151515151515152"
"6,7","0,149253731343284"
"6,8","0,147058823529412"
"6,9","0,144927536231884"
7,"0,142857142857143"
"7,1","0,140845070422535"
"7,2","0,138888888888889"
"7,3","0,136986301369863"
"7,4","0,135135135135135"
"7,5","0,133333333333333"
"7,6","0,131578947368421"
"7,7","0,12987012987013"
"7,8","0,128205128205128"
"7,9","0,126582278481013"
8,"0,125"
"8,1","0,123456790123457"
"8,2","0,121951219512195"
"8,3","0,120481927710843"
"8,4","0,119047619047619"
"8,5","0,117647058823529"
"8,6","0,116279069767442"
"8,7","0,114942528735632"
"8,8","0,113636363636364"
"8,9","0,112359550561798"
9,"0,111111111111111"
"9,1","0,10989010989011"
"9,2","0,108695652173913"
"9,3","0,10752688172043"
"9,4","0,106382978723404"
"9,5","0,105263157894737"
"9,6","0,104166666666667"
"9,7","0,103092783505155"
"9,8","0,102040816326531"
"9,9","0,101010101010101"
10,"0,1"
"10,1","0,099009900990099"
"10,2","0,0980392156862745"
"10,3","0,0970873786407767"
"10,4","0,0961538461538462"
"10,5","0,0952380952380952"
"10,6","0,0943396226415094"
"10,7","0,0934579439252336"
"10,8","0,0925925925925926"
"10,9","0,091743119266055"
11,"0,0909090909090909"
"11,1","0,0900900900900901"
"11,2","0,0892857142857143"
"11,3","0,0884955752212389"
"11,4","0,087719298245614"
"11,5","0,0869565217391304"
"11,6","0,0862068965517241"
"11,7","0,0854700854700855"
"11,8","0,0847457627118644"
"11,9","0,0840336134453781"
12,"0,0833333333333333"
"12,1","0,0826446280991735"
"12,2","0,0819672131147541"
"12,3","0,0813008130081301"
"12,4","0,0806451612903226"
"12,5","0,08"
"12,6","0,0793650793650794"
"12,7","0,078740157480315"
"12,8","0,078125"
"12,9","0,0775193798449612"
13,"0,0769230769230769"
"13,1","0,0763358778625954"
"13,2","0,0757575757575757"
"13,3","0,075187969924812"
"13,4","0,0746268656716418"
"13,5","0,0740740740740741"
"13,6","0,0735294117647059"
"13,7","0,072992700729927"
"13,8","0,072463768115942"
"13,9","0,0719424460431655"
14,"0,0714285714285714"
"14,1","0,0709219858156028"
"14,2","0,0704225352112676"
"14,3","0,0699300699300699"
"14,4","0,0694444444444444"
"14,5","0,0689655172413793"
"14,6","0,0684931506849315"
"14,7","0,0680272108843537"
"14,8","0,0675675675675676"
"14,9","0,0671140939597315"
15,"0,0666666666666667"
"15,1","0,0662251655629139"
"15,2","0,0657894736842105"
"15,3","0,065359477124183"
"15,4","0,0649350649350649"
"15,5","0,0645161290322581"
"15,6","0,0641025641025641"
"15,7","0,0636942675159236"
"15,8","0,0632911392405063"
"15,9","0,0628930817610063"
16,"0,0625"
"16,1","0,062111801242236"
"16,2","0,0617283950617284"
"16,3","0,0613496932515337"
"16,4","0,0609756097560976"
"16,5","0,0606060606060606"
"16,6","0,0602409638554217"
"16,7","0,0598802395209581"
"16,8","0,0595238095238095"
"16,9","0,0591715976331361"
17,"0,0588235294117647"
"17,1","0,0584795321637427"
"17,2","0,0581395348837209"
"17,3","0,0578034682080925"
"17,4","0,0574712643678161"
"17,5","0,0571428571428571"
"17,6","0,0568181818181818"
"17,7","0,0564971751412429"
"17,8","0,0561797752808989"
"17,9","0,0558659217877095"
18,"0,0555555555555556"
"18,1","0,0552486187845304"
"18,2","0,0549450549450549"
